id;area;file;tipo_file;titolo;peso;published;created_at;updated_at;tipomedia;ruolo;tag
715;scheda-intervento/30934;dc270ddb6cc31c218499c9be69cab807_816362a5d62742172b8fd7a7642afc40.rar;rar;reperti1;94371840;0;2022/03/04 09:45:13.945;2022/03/04 09:46:29.179;1;34;3
5;scheda-intervento;e792aaeeea513f7ef4b18b77567459f1_3fac05b77131a310a6c7ddaf6cbb95d8.jpg;jpg;Satellitare scavo;132788;1;2021/05/07 09:10:55.219;2021/05/07 09:11:10.982;1;1;
6;scheda-intervento/8;42950325dce070ffa4a397d2b1f0023e_373eb4e6cc2f275228d64bf49690f092.jpeg;jpeg;;38159;0;2021/05/20 14:20:50.296;2021/05/20 14:20:50.296;1;1;
7;iv-livello-archeologico/1;aa3ccdad13b07d770706feaa1f3e024b_0c29d1c96b8979c8ac64cb41af300900.jpeg;jpeg;Esempio 1;50251;1;2021/05/20 14:23:20.279;2021/05/20 14:52:50.122;1;28;2
8;iv-livello-archeologico/1;1199e28af182cec0d73c3fdc65ad0828_7d4d9db30daca190341089065bf8021b.pdf;pdf;File di test;125976;1;2021/05/20 15:15:18.085;2021/05/20 15:15:36.305;2;5;3
9;iv-livello-archeologico/1;e40361c94674c0a2420c0550acd97327_d8c8c73273fc5d5c4627b07f680490dc.sql;sql;;15287;0;2021/05/20 15:16:25.335;2021/05/20 15:16:25.335;5;3;
10;iv-livello-archeologico/1;b6c06a4d9c482a703773fa7b855bf000_807149d07e02e098b9b1c1a7260b111e.shp;shp;Testa etrusca;1403012;1;2021/05/20 15:26:03.460;2021/05/20 15:27:13.170;5;40;2
3;scheda-intervento;7c2615eee1d8dd50c69d9ec1ebbd38a5_33c602e41f690adf0d81da32ef72f842.docx;docx;"Scavo x, pianta y.";12421;1;2021/03/14 20:12:46.756;2021/05/20 15:49:21.291;2;37;2
11;scheda-intervento/8;f5b3d2155793c0ebb086026264f8c000_807149d07e02e098b9b1c1a7260b111e.shp;shp;;1403012;0;2021/05/20 15:49:52.686;2021/05/20 15:49:52.686;5;1;
12;scheda-intervento/30432;ce65a39e58f42fdf99da30206539cb2e_779d25605825de1e2d35826c3eb8c3bc.png;png;;969283;0;2021/05/24 06:52:16.526;2021/05/24 06:52:16.526;1;1;
13;scheda-intervento/8;af9a29070c36f160010a6d321866777f_3692e633c258493a1a98c641e947569b.jpg;jpg;;15064;0;2021/05/26 13:06:30.470;2021/05/26 13:06:30.470;1;1;
14;scheda-intervento/30436;5fe4609df00ee64f132845c12409b00c_52ba2050d62cb6d21cf69f8703b7990e.jpg;jpg;test1_ric;119377;1;2021/06/03 10:22:14.037;2021/06/03 10:23:12.131;1;32;2
15;scheda-intervento/30436;e738376aaf28980af7df40af42c957e0_a2514cfeee7f804bbaf328273e0a7fd3.pdf;pdf;test_2ric;1742637;0;2021/06/03 10:26:58.920;2021/06/03 10:27:30.283;2;36;1
16;scheda-intervento/30436;9db6f51e1e0df409c8d43148b4124236_ff5f27cc4172edffda4ac5e1ed5916a2.sql;sql;dump sql;8336;0;2021/06/03 10:30:42.802;2021/06/03 10:31:03.275;5;39;1
17;iv-livello-archeologico/12611;4f9f10377fa9825ab0195d1eb9a23863_71ad152cc11e886eed698668c1510a2b.jpg;jpg;test_ric;41530;1;2021/06/03 10:56:20.349;2021/06/03 10:56:38.885;1;28;2
18;iv-livello-archeologico/12611;4df8cc57970d56968f9df1a3016640ca_60c31e7d022f23626143ea39bb462e32.txt;txt;PROVA;72;1;2021/06/03 10:57:27.477;2021/06/03 11:02:56.297;2;17;1
19;iv-livello-archeologico/12611;43a0fd1c67dd183d123e6efcc6223db0_de39d505a1858c12f84d8ad91467c751.zip;zip;test;12015;0;2021/06/03 11:03:24.984;2021/06/03 11:03:36.634;5;41;2
20;ritrovamento-di-periodo/7141;57687af0900db64b4a7498178f585c55_82110801388a551ae2811856600ba807.jpg;jpg;legenda ctr;3050136;0;2021/06/03 11:47:07.765;2021/06/03 11:47:50.999;1;30;2
21;ritrovamento-di-periodo/7141;cc1837dd8130e54470d828325c67da59_d6068daecb4a919c4a4030eb79ba5948.pdf;pdf;test_ric55;5822409;1;2021/06/03 11:48:05.373;2021/06/03 11:48:21.090;2;8;1
22;scheda-intervento/30436;3ec7c6c8c915e13fd1b36fb491d4e453_ffa04600c43d9c24762433fd7c4f55a3.pdf;pdf;;5372137;0;2021/06/04 15:46:39.035;2021/06/04 15:46:39.035;2;3;
23;scheda-intervento/1;44206127416a357b75ff798116a9da15_862eb42042c2db49dbabdedaf55b869d.png;png;;1484780;0;2021/06/14 15:09:55.240;2021/06/14 15:09:55.240;1;1;
24;scheda-intervento/2;"0102a50a23256d0bd9b14812e19c8a5a_6320e0d96be9ac0f3baf88b60b89ac2b.jpg";jpg;;43917;0;2021/06/14 15:15:44.973;2021/06/14 15:15:44.973;1;1;
25;scheda-intervento/30440;c93ccdd573a8f2f7b45078558a02a12b_446a2c1d8968eb7b2abdb2ea6ca40bd6.jpg;jpg;immagine test;1244979;0;2021/06/18 09:27:11.641;2021/06/18 09:28:32.838;1;46;2
26;scheda-intervento/30440;c4fe7695ffa7b38972df450ae6c1c1c3_32e730cf1a420e52ca28dcd5565e466a.sql;sql;dump_sql;378;1;2021/06/18 09:30:21.970;2021/06/18 09:30:44.753;5;39;2
27;scheda-intervento/30443;a7fcbdfe8c636ffe89d3ffde3124d949_d77d5e503ad1439f585ac494268b351b.png;png;;125032;0;2021/06/23 16:24:34.306;2021/06/23 16:24:34.306;1;1;
28;scheda-intervento/30443;a6e0cc791d0832a3d8b2a63e13e30636_d3eec98a249268f60d1089ba6bc2fea3.pdf;pdf;;3175322;0;2021/06/23 16:29:06.782;2021/06/23 16:29:06.782;2;3;
29;scheda-intervento/30518;1d4412db4ce3768e06f3b2f442a4b2db_c86c7f55210f90b29d85d66cf3715cab.png;png;;205578;0;2021/09/13 16:09:45.410;2021/09/13 16:09:45.410;1;1;
30;scheda-intervento/30519;2c4bdf5ca7362844ffffa2c1cfc30b3d_c63887893525bc86ed40dbd615adf842.pdf;pdf;Relazione di missione e relazione scientifica;5843483;0;2021/09/17 15:45:09.521;2021/09/17 15:46:59.326;2;8;1
31;ritrovamento-di-periodo/7297;1a4dd7e71eeb02b91483cde5f86b3397_01236a431f6755af4ac406492984fa80.jpg;jpg;non funziona menù con vocabolari vincolati;117131;1;2021/10/13 15:26:18.484;2021/10/13 15:28:12.606;1;28;1
35;scheda-intervento/30522;2820066a438015eb3123570eaa362d2d_814c22e81e92b2957c4a46c50a9d242a.pdf;pdf;;1256428;0;2021/10/14 17:20:15.369;2021/10/14 17:20:15.369;2;3;
32;ritrovamento-di-periodo/7297;95a489406121c217bc83f6d6800c8b49_84f67268ac7cce384af5a2bb9cb4c10f.pdf;pdf;"ciao, non funziono bene!";132633;1;2021/10/13 15:28:44.269;2021/10/13 15:30:14.593;2;8;2
33;ritrovamento-di-periodo/7297;2992957a960afba35d2cca50ce6bd5c3_ff5f27cc4172edffda4ac5e1ed5916a2.sql;sql;dump sql;8336;1;2021/10/13 15:31:02.836;2021/10/13 15:31:34.693;5;39;1
34;scheda-intervento/30521;c4d7546a3123b42212867a3d2390daca_ff5f27cc4172edffda4ac5e1ed5916a2.sql;sql;Schede us scavo;8336;0;2021/10/13 17:49:20.432;2021/10/13 17:50:02.186;5;38;1
36;scheda-intervento/30528;94d424685fd9e5809eb04b02a8e19df0_392f8e5c323f95463836846da8498f8c.pdf;pdf;Segnalazione rinvenimento ;206404;0;2021/10/15 12:09:37.551;2021/10/15 12:11:29.495;2;3;1
